Career ID,Department,Category,Profession
BUMA-AC-001,Business & Management,Accounting,Accountant
BUMA-AC-002,Business & Management,Accounting,Accounts Executive
BUMA-AC-003,Business & Management,Accounting,Auditor
BUMA-AC-004,Business & Management,Accounting,Chartered Accountant
BUMA-AC-005,Business & Management,Accounting,Compliance Accountant
BUMA-AC-006,Business & Management,Accounting,Cost Accountant
BUMA-AC-007,Business & Management,Accounting,Forensic Accountant
BUMA-AC-008,Business & Management,Accounting,Internal Auditor
BUMA-AC-009,Business & Management,Accounting,Payroll Accountant
BUMA-AC-010,Business & Management,Accounting,Tax Consultant
BUMA-BUMA-001,Business & Management,Business Management,Agile Coach
BUMA-BUMA-002,Business & Management,Business Management,Branch Manager
BUMA-BUMA-003,Business & Management,Business Management,Business Consultant
BUMA-BUMA-004,Business & Management,Business Management,Change Management Consultant
BUMA-BUMA-005,Business & Management,Business Management,Delivery Manager
BUMA-BUMA-006,Business & Management,Business Management,Digital Transformation Consultant
BUMA-BUMA-007,Business & Management,Business Management,General Manager
BUMA-BUMA-008,Business & Management,Business Management,Innovation Consultant
BUMA-BUMA-009,Business & Management,Business Management,Innovation Consultant
BUMA-BUMA-010,Business & Management,Business Management,Innovation Manager
BUMA-BUMA-011,Business & Management,Business Management,Operations Manager
BUMA-BUMA-012,Business & Management,Business Management,PMO Analyst
BUMA-BUMA-013,Business & Management,Business Management,Product Manager
BUMA-BUMA-014,Business & Management,Business Management,Program Manager
BUMA-BUMA-015,Business & Management,Business Management,Project Manager
BUMA-BUMA-016,Business & Management,Business Management,Scrum Master
BUMA-BUMA-017,Business & Management,Business Management,Strategy Consultant
BUMA-BUMA-018,Business & Management,Business Management,Transformation Manager
BUMA-DIMA-001,Business & Management,Digital Marketing,Affiliate Marketing Manager
BUMA-EN-001,Business & Management,Entrepreneurship,Startup Founder
BUMA-FIIN-001,Business & Management,Finance & Investment,Bank Manager
BUMA-FIIN-002,Business & Management,Finance & Investment,Corporate Finance Associate
BUMA-FIIN-003,Business & Management,Finance & Investment,Credit Analyst
BUMA-FIIN-004,Business & Management,Finance & Investment,Equity Research Analyst
BUMA-FIIN-005,Business & Management,Finance & Investment,FinTech Analyst
BUMA-FIIN-006,Business & Management,Finance & Investment,Financial Analyst
